product_name,supplier_name,location,category,price_raw,rating_raw,product_url,scraped_at,source,businessDetails/isDistributor,businessDetails/isExporter,businessDetails/isManufacturer,businessDetails/isSuperSeller,businessDetails/isSupplier,businessDetails/isTrader,businessDetails/memberSince,businessType,catalogUrl,companyName,companyUrl,currency,inStock,location/city,location/country,location/state,madeInIndia,moq,price,priceAndQuantity/Minimum Order Quantity,priceAndQuantity/Price,priceAndQuantity/Price Range,priceAndQuantity/Unit of Measure,priceAndQuantity/Unit of Price,productDescription,productId,productImage,productName,scrapedAt,searchUrl,specifications/Application,specifications/Attributes,specifications/Automation,specifications/Cable Capacity,specifications/Cable Length,specifications/Cable Type,specifications/Character,specifications/Characteristics,specifications/Color,specifications/Condition,specifications/Conductor,specifications/Conductor Material,specifications/Conductor Type,specifications/Connector Type,specifications/Construction,specifications/Control System,specifications/Customized,specifications/Density,specifications/Design,specifications/Diameter,specifications/Dimension (L*W*H),specifications/Display Type,specifications/Fabric Material,specifications/Fabric Type,specifications/Feature,specifications/Features,specifications/Finish Type,specifications/Frequency,specifications/Frequency (MHz),specifications/Function,specifications/Fur Type,specifications/GSM,specifications/Grade,specifications/Humidity,specifications/Insulation Material,specifications/Jacket Color,specifications/Knitted Type,specifications/Length,specifications/Material,specifications/No Of Core,specifications/No Of Ply,specifications/Number of Specimens,specifications/Operating Temperature,specifications/Operating Type,specifications/Other Names,specifications/Packaging,specifications/Packet Weight,specifications/Pattern,specifications/Pattern Type,specifications/Phase,specifications/Ply,specifications/Power,specifications/Power Rating,specifications/Power Source,specifications/Process,specifications/Product Type,specifications/Properties,specifications/Rated Current,specifications/Rated Voltage,specifications/Rolls Length,specifications/Rolls in a Packet,specifications/Rubbing Resistance,specifications/Scarf Length,specifications/Season,specifications/Shape,specifications/Shield Material,specifications/Size,specifications/Size/Dimensions,specifications/Solvent Color,specifications/Specimen Size,specifications/Standard,specifications/Strength,specifications/Stretch Type,specifications/Style,specifications/Surface Treatment,specifications/Technique,specifications/Temper,specifications/Temperature,specifications/Test Material,specifications/Test Range,specifications/Texture,specifications/Texture Type,specifications/Thickness,specifications/Type,specifications/Usage,specifications/Usage & Applications,specifications/Use,specifications/Voltage,specifications/Voltage Surge,specifications/Warranty,specifications/Washing Method,specifications/Water Proof,specifications/Water Resistance,specifications/Weave Style,specifications/Weight,specifications/Width,specifications/Yarn Character,specifications/Yarn Count,specifications/Yarn Type
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:22.340576,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:27.763130,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:27.788594,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:27.813807,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:27.839070,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:32.381445,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:32.402634,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:32.424941,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:32.444828,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:37.435333,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:37.455436,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:37.476461,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:37.498546,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:42.664744,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:42.685450,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:42.704785,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:42.724237,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:47.705666,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:47.725589,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:47.745871,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:47.765886,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:51.565307,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:51.589355,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:51.610075,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:51.630146,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:55.782342,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:52:55.803133,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:52:55.823110,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:52:55.843382,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:53:00.077216,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:53:00.097113,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:53:00.119245,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:53:00.138644,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:53:05.552544,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:53:05.571988,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:53:05.591651,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:53:05.611656,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:53:11.472878,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,industrial_machinery,,,,2026-06-16T10:53:11.510624,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,industrial_machinery,,,,2026-06-16T10:53:11.532472,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,industrial_machinery,,,,2026-06-16T10:53:11.552186,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,electronics,,,,2026-06-16T10:53:21.786470,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,electronics,,,,2026-06-16T10:53:21.809854,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,electronics,,,,2026-06-16T10:53:21.837579,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,electronics,,,,2026-06-16T10:53:21.860769,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,electronics,,,,2026-06-16T10:53:26.658432,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,electronics,,,,2026-06-16T10:53:26.683741,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,electronics,,,,2026-06-16T10:53:26.710840,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,electronics,,,,2026-06-16T10:53:26.735913,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verified cotton t-shirts supplier,,,electronics,,,,2026-06-16T10:53:30.305587,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk t-shirts manufacturer,,,electronics,,,,2026-06-16T10:53:30.328224,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printed t-shirts dealer,,,electronics,,,,2026-06-16T10:53:30.348435,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate t-shirts supplier,,,electronics,,,,2026-06-16T10:53:30.368261,IndiaMART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
