"businessDetails/isDistributor","businessDetails/isExporter","businessDetails/isManufacturer","businessDetails/isSuperSeller","businessDetails/isSupplier","businessDetails/isTrader","businessDetails/memberSince","businessType","catalogUrl","companyName","companyUrl","currency","inStock","location/city","location/country","location/state","madeInIndia","moq","price","priceAndQuantity/Minimum Order Quantity","priceAndQuantity/Price","priceAndQuantity/Price Range","priceAndQuantity/Unit of Measure","priceAndQuantity/Unit of Price","productDescription","productId","productImage","productName","scrapedAt","searchUrl","specifications/Application","specifications/Attributes","specifications/Automation","specifications/Cable Capacity","specifications/Cable Length","specifications/Cable Type","specifications/Character","specifications/Characteristics","specifications/Color","specifications/Condition","specifications/Conductor","specifications/Conductor Material","specifications/Conductor Type","specifications/Connector Type","specifications/Construction","specifications/Control System","specifications/Customized","specifications/Density","specifications/Design","specifications/Diameter","specifications/Dimension (L*W*H)","specifications/Display Type","specifications/Fabric Material","specifications/Fabric Type","specifications/Feature","specifications/Features","specifications/Finish Type","specifications/Frequency","specifications/Frequency (MHz)","specifications/Function","specifications/Fur Type","specifications/GSM","specifications/Grade","specifications/Humidity","specifications/Insulation Material","specifications/Jacket Color","specifications/Knitted Type","specifications/Length","specifications/Material","specifications/No Of Core","specifications/No Of Ply","specifications/Number of Specimens","specifications/Operating Temperature","specifications/Operating Type","specifications/Other Names","specifications/Packaging","specifications/Packet Weight","specifications/Pattern","specifications/Pattern Type","specifications/Phase","specifications/Ply","specifications/Power","specifications/Power Rating","specifications/Power Source","specifications/Process","specifications/Product Type","specifications/Properties","specifications/Rated Current","specifications/Rated Voltage","specifications/Rolls Length","specifications/Rolls in a Packet","specifications/Rubbing Resistance","specifications/Scarf Length","specifications/Season","specifications/Shape","specifications/Shield Material","specifications/Size","specifications/Size/Dimensions","specifications/Solvent Color","specifications/Specimen Size","specifications/Standard","specifications/Strength","specifications/Stretch Type","specifications/Style","specifications/Surface Treatment","specifications/Technique","specifications/Temper","specifications/Temperature","specifications/Test Material","specifications/Test Range","specifications/Texture","specifications/Texture Type","specifications/Thickness","specifications/Type","specifications/Usage","specifications/Usage & Applications","specifications/Use","specifications/Voltage","specifications/Voltage Surge","specifications/Warranty","specifications/Washing Method","specifications/Water Proof","specifications/Water Resistance","specifications/Weave Style","specifications/Weight","specifications/Width","specifications/Yarn Character","specifications/Yarn Count","specifications/Yarn Type"
"true","true","true","true","true","true","21","Manufacturer | Distributor","http://www.directblue86.com/","NAVIN CHEMICALS","/navin-chemicals-1087770/",,"true","Vapi","India","Gujarat","true","0",,,,,,,"Green Reactive HE Dyes For Cotton Yarn","4175650","https://cpimg.tistatic.com/04175650/b/4/Green-Reactive-HE-Dyes-For-Cotton-Yarn.jpg","Green Reactive HE Dyes For Cotton Yarn","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn","Cotton Yarn Dyeing, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reactive HE",,,,,,,,,,,,"Green HE Dye",,,,,,,,,,,,,,,,,"other, High",,,,,,,"Green",,,"4.0%",,,,,,,,,,,,"Reactive Dye","Cotton Yarn and Knit Fabric Dyeing, Other",,,,,,,,"High",,,,,,
"false","true","true","true","false","false","25","Manufacturer | Exporter",,"RUGHANI BROTHERS","/rughani-brothers-335845/",,"true","Mumbai","India","Maharashtra","true","45000",,"45000",,"1.50 - 2.50 USD ($)","Meter/Meters","Meter/Meters","Yarn Dyed Suiting Fabric","128522","https://cpimg.tistatic.com/00128522/b/6/Yarn-Dyed-Suiting-Fabric.jpg","Yarn Dyed Suiting Fabric","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,,,,,,,,"Yarn dyed / Fibre dyed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As required  Meter (m)","Pv , TR , Polyester Viscose , Polyester wool etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quality Trousers , Suits",,,,,,,,"180-250 GSM GSM (gm/2)","152  Centimeter (cm)",,"30/2,40/2,50/2",
"true","false","false","true","true","true","5","Distributor | Supplier","http://www.montronicsmumbai.com/","MONTRONICS ELECTRONICS PRIVATE LIMITED","/montronics-electronics-private-limited-6501190/",,"true","Mumbai","India","Maharashtra","true","1000","5.10 INR (Approx.)","1000","5.10 INR",,"Meter","Meter","Monics 2 Core Fiber Optic Cable 5.8 mm with yarn & 2 frp","9416829","https://cpimg.tistatic.com/09416829/b/4/Monics-2-Core-Fiber-Optic-Cable-5-8-mm-with-yarn-2-frp.jpg","Monics 2 Core Fiber Optic Cable 5.8 mm with yarn & 2 frp","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black",,,,,,,,,,,,,,,,,,,,"Monics 2 Core Fiber Optic Cable 5.8 mm with yarn & 2 frp",,,,,,,,,,"HDPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"false","true","true","true","false","false","19","Manufacturer | Exporter","http://www.jutemachinery.com/","JUTEX INDUSTRIES PRIVATE LIMITED","/jutex-industries-private-limited-2294097/",,"true","Kolkata","India","West Bengal","true","15000","60000.00 INR (Approx.)","15000","60000.00 INR",,"Kilograms/Kilograms,","Ton/Tons","Jute Yarn","3576288","https://cpimg.tistatic.com/03576288/b/4/Jute-Yarn.jpg","Jute Yarn","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn","Jute Mill",,,,,,,,"Natural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other, Jute",,,,,,,,,,,,"1 Ply, 2 Ply, 3 Ply, Multiple Ply",,,,,,,,,,,,,,,,,,,,,,,"Other",,,,,,,"Other, Jute",,,,,,,,,,,,,,,,,,
"false","true","true","true","true","false","9","Manufacturer | Supplier",,"APPLE ELECTRONIKS","/apple-electroniks-6695444/",,"true","Vadodara","India","Gujarat","true","1","3500000 INR (Approx.)","1","3500000 INR",,"Unit/Units","Unit/Units","Yarn Evenness Tester","10199348","https://cpimg.tistatic.com/10199348/b/4/Yarn-Evenness-Tester..jpg","Yarn Evenness Tester","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn","Industrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stainless Steel",,,,,,,,,,,,,"220",,"Electric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yarn Evenness Tester","Industrial",,,,,,,,,,"90  Kilograms (kg)",,,,
"true","true","true","true","true","false","5","Manufacturer | Distributor",,"ARMY LOOMS & TEXTILES CO","/army-looms-textiles-co-31564100/",,"true","Surat","India","Gujarat","true","1",,"1",,,"Piece/Pieces","Piece/Pieces","Automatic Grade : Semi Automatic\015\012Power : 6-9 kw\015\012Voltage : 380V\015\012Weight : 1000-2000 kg\015\012Driven Type : Electric\015\012Application : Supplying Weft Yarns","7608534","https://tiimg.tistatic.com/fp/1/007/608/semi-automatic-electric-jacquard-looms-for-supplying-weft-yarns-380-v-534.jpg","Semi Automatic Electric Jacquard Looms For Supplying Weft Yarns, 380 V","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal",,,,,,,,,,,,,"6-9 kw Watt (w)",,,,"Textile Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380 Volt (v)",,,,,,,"100-2000  Kilograms (kg)",,,,
"true","true","true","true","false","true","8","Manufacturer | Distributor","http://www.eastasiatextile.com/","EAST ASIA TEXTILE TECHNOLOGY LTD.","/east-asia-textile-technology-ltd-1893065/",,"true","Shanghai","China","Shanghai","false","2000",,"2000",,"2.00 - 4.00 USD ($)","Kilograms/Kilograms",,"Polyester Monofilament Yarn","5310111","https://cpimg.tistatic.com/05310111/b/4/Polyester-Monofilament-Yarn.jpg","Polyester Monofilament Yarn","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,"Other, Eco-friendly, UV resistant, abrasion resistant",,,,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other, Polyester",,,,,,,"Other, Rolls (packed in packets)","8 kg (approx.)",,,,,,,,,,"Other Style, High strength, durable, smooth finish, low shrinkage",,,"1000 meters per roll (approx.)","10 rolls",,,,,,,,,,,,,"Other, Plain",,,,,,,,,,,"Other, Industrial sewing, weaving, knitting, fishing nets, embroidery",,,,,,,,,,,,"Other, Monofilament",,
"true","true","true","true","true","true","3","Manufacturer | Distributor","http://www.hisendatextile.com/","WEIFANG HISENDA TEXTILE CO.,LTD","/weifang-hisenda-textile-co-ltd-89437709/",,"true","Weifang","China","Shandong","false","200","8 USD ($) (Approx.)","200","8 USD ($)",,"Kilograms/Kilograms","Kilograms/Kilograms","Nylon 66 LOY Yarn","9973733","https://cpimg.tistatic.com/09973733/b/4/Nylon-66-LOY-Yarn.png","Nylon 66 LOY Yarn","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,"High Tenacity",,,,,,,"white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nylon",,,,,,,,,,,,,,,,,,"Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOY Yarn",,,,,,,,,,,,,
"true","true","true","true","true","true","20","Manufacturer | Distributor","http://www.scarves-shawls-manufacturer.com/","ENGLISH CREATIONS CRAZE","/english-creations-craze-991187/",,"true","Amritsar","India","Punjab","true","5","5.00 USD ($) (Approx.)","5","5.00 USD ($)",,"Piece/Pieces","Piece/Pieces","Yarn Dyed Scarf","8646575","https://cpimg.tistatic.com/08646575/b/4/Yarn-Dyed-Scarf.jpg","Yarn Dyed Scarf","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,,,,,,,,"Multicolor",,,,,,,,,,,,,,,,,,,,,,"No fur",,,,,,"Machine Made","50*180  Centimeter (cm)","Cotton",,,,,,,,,"Dyed",,,,,,,,"Scarves",,,,,,,"Medium","Summer, Spring, Other",,,,,,,,,,,,,,,,,,,,,"Daily",,,,,,,,,,,,,,
"true","true","true","true","true","true","24","Manufacturer | Distributor","http://www.filtermakingmachine.co.in/","KANWAL ENTERPRISES PRIVATE LIMITED","/kanwal-enterprises-private-limited-318045/",,"true","Gurugram","India","Haryana","true","1",,"1",,,"Piece/Pieces",,"YARN WINDING M-","10384159","https://cpimg.tistatic.com/10384159/b/4/YARN-WINDING-M-C..jpg","YARN WINDING M-C","2026-06-16T11:28:48.650Z","https://www.tradeindia.com/search.html?keyword=yarn",,,,,,,,,"Blue",,,,,,,"Fully Automatic",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Automatic",,,,,,,,,,"Electricity",,,,,,,,,,,,,,,,,,,,,"Painted",,,,,,,,,,,"Industrial",,"220 Volt (v)",,"12 Months",,,,,,,,,
